[2024-03-27 13:43:10] [world] The Player <Milk_Frog> has picked 1 of RED_ROSE at X= -606, Y= 68, Z= 250 that had [] enchantment(s) |  
[2024-03-27 13:43:19] [world] The Player <Milk_Frog> has picked 1 of RED_ROSE at X= -607, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-27 13:44:01] [world] The Player <Milk_Frog> has picked 1 of SAPLING at X= -609, Y= 69, Z= 253 that had [] enchantment(s) |  
[2024-03-27 13:47:48] [world] The Player <Milk_Frog> has picked 2 of SAPLING at X= -609, Y= 68, Z= 249 that had [] enchantment(s) |  
[2024-03-27 13:53:57] [world] The Player <Milk_Frog> has picked 3 of SAPLING at X= -601, Y= 68, Z= 246 that had [] enchantment(s) |  
[2024-03-27 13:53:58] [world] The Player <Milk_Frog> has picked 1 of YELLOW_FLOWER at X= -597, Y= 68, Z= 245 that had [] enchantment(s) |  
[2024-03-27 14:09:24] [world] The Player <Milk_Frog> has picked 1 of COBBLE_WALL at X= -602, Y= 69, Z= 247 that had [] enchantment(s) |  
[2024-03-27 14:09:28] [world] The Player <Milk_Frog> has picked 1 of LEAVES at X= -600, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-27 14:13:18] [world] The Player <Milk_Frog> has picked 1 of FLOWER_POT_ITEM at X= -609, Y= 69, Z= 248 that had [] enchantment(s) |  
[2024-03-27 14:13:23] [world] The Player <Milk_Frog> has picked 1 of FLOWER_POT_ITEM at X= -609, Y= 69, Z= 248 that had [] enchantment(s) |  
[2024-03-27 14:24:48] [world] The Player <Milk_Frog> has picked 1 of MONSTER_EGG at X= -602, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-27 14:26:57] [world] The Player <Milk_Frog> has picked 1 of RECORD_12 at X= -598, Y= 68, Z= 254 that had [] enchantment(s) |  
[2024-03-27 14:27:09] [world] The Player <Milk_Frog> has picked 1 of RECORD_12 at X= -598, Y= 68, Z= 253 that had [] enchantment(s) |  
[2024-03-27 14:27:40] [world] The Player <Milk_Frog> has picked 1 of RECORD_9 at X= -600, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-27 14:36:02] [world] The Player <Tester> has picked 1 of POWERED_RAIL at X= -605, Y= 69, Z= 247 that had [] enchantment(s) |  
[2024-03-27 14:36:38] [world] The Player <Tester> has picked 1 of ROTTEN_FLESH at X= -594, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-27 14:37:19] [world] The Player <Tester> has picked 1 of PAINTING at X= -608, Y= 69, Z= 256 that had [] enchantment(s) |  
[2024-03-27 14:37:24] [world] The Player <Tester> has picked 1 of PAINTING at X= -606, Y= 70, Z= 249 that had [] enchantment(s) |  
[2024-03-27 14:37:28] [world] The Player <Tester> has picked 1 of PAINTING at X= -604, Y= 71, Z= 247 that had [] enchantment(s) |  
[2024-03-27 14:38:14] [world] The Player <Tester> has picked 1 of PAINTING at X= -608, Y= 68, Z= 255 that had [] enchantment(s) |  
[2024-03-27 14:38:58] [world] The Player <Tester> has picked 1 of PAINTING at X= -615, Y= 71, Z= 261 that had [] enchantment(s) |  
[2024-03-27 14:39:08] [world] The Player <Tester> has picked 1 of PAINTING at X= -589, Y= 69, Z= 257 that had [] enchantment(s) |  
[2024-03-27 15:02:40] [world] The Player <Tester> has picked 1 of STAINED_CLAY at X= -598, Y= 68, Z= 370 that had [] enchantment(s) |  
[2024-03-27 20:04:49] [world] The Player <GolemDaWanderer> has picked 2 of ROTTEN_FLESH at X= -562, Y= 68, Z= 283 that had [] enchantment(s) |  
[2024-03-27 20:05:43] [world] The Player <GolemDaWanderer> has picked 1 of COOKED_BEEF at X= -570, Y= 62, Z= 235 that had [] enchantment(s) |  
