[2024-03-30 14:40:34] [world] The Player <GolemDaWanderer> has picked 3 of SUGAR_CANE at X= 10337, Y= 64, Z= -10542 that had [] enchantment(s) |  
[2024-03-30 19:12:55] [world] The Player <GolemDaWanderer> has picked 1 of SEEDS at X= 10351, Y= 72, Z= -10718 that had [] enchantment(s) |  
[2024-03-30 19:12:58] [world] The Player <GolemDaWanderer> has picked 1 of SEEDS at X= 10350, Y= 72, Z= -10713 that had [] enchantment(s) |  
[2024-03-30 19:28:43] [world] The Player <GolemDaWanderer> has picked 1 of LOG at X= 10363, Y= 72, Z= -10943 that had [] enchantment(s) |  
[2024-03-30 19:28:44] [world] The Player <GolemDaWanderer> has picked 2 of LOG at X= 10363, Y= 73, Z= -10942 that had [] enchantment(s) |  
[2024-03-30 19:28:59] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= 10364, Y= 73, Z= -10930 that had [] enchantment(s) |  
[2024-03-30 19:30:59] [world] The Player <GolemDaWanderer> has picked 1 of SEEDS at X= 10364, Y= 72, Z= -10945 that had [] enchantment(s) |  
[2024-03-30 19:31:44] [world] The Player <GolemDaWanderer> has picked 1 of ENCHANTMENT_TABLE at X= 10351, Y= 71, Z= -10965 that had [] enchantment(s) |  
[2024-03-30 19:31:48] [world] The Player <GolemDaWanderer> has picked 1 of ENDER_CHEST at X= 10353, Y= 71, Z= -10966 that had [] enchantment(s) |  
[2024-03-30 19:35:17] [world] The Player <GolemDaWanderer> has picked 1 of ANVIL at X= 10341, Y= 64, Z= -11130 that had [] enchantment(s) |  
[2024-03-31 02:05:16] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 02:05:17] [world] The Player <GolemDaWanderer> has picked 7 of BONE at X= -10298, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-31 02:05:19] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 02:05:23] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 02:05:28] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 02:05:29] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-31 02:05:32] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10298, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 02:05:33] [world] The Player <GolemDaWanderer> has picked 4 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 02:05:35] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10298, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 02:05:36] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:25:55] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:26:07] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10298, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 03:27:03] [world] The Player <GolemDaWanderer> has picked 7 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:28:12] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:29:48] [world] The Player <GolemDaWanderer> has picked 3 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:30:11] [world] The Player <GolemDaWanderer> has picked 4 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:30:11] [world] The Player <GolemDaWanderer> has picked 11 of BONE at X= -10296, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:30:23] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:30:35] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 03:30:40] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:32:10] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:32:23] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 03:32:26] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10297, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 03:33:03] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:33:03] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:33:21] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 03:43:21] [world] The Player <GolemDaWanderer> has picked 4 of BONE at X= -10298, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 03:43:22] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10298, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-31 03:43:23] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 03:43:25] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10299, Y= 35, Z= 4027 that had [] enchantment(s) |  
[2024-03-31 03:43:27] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:43:27] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 03:43:36] [world] The Player <GolemDaWanderer> has picked 5 of ARROW at X= -10299, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 03:43:38] [world] The Player <GolemDaWanderer> has picked 1 of TORCH at X= -10298, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 03:43:42] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10301, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 03:43:43] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10300, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 03:43:44] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10301, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-31 03:43:46] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10300, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-31 03:43:47] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10298, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-31 10:01:20] [world] The Player <BTC> has picked 2 of LEATHER at X= -3150, Y= 61, Z= 971 that had [] enchantment(s) |  
[2024-03-31 10:01:20] [world] The Player <BTC> has picked 1 of COOKED_BEEF at X= -3149, Y= 61, Z= 970 that had [] enchantment(s) |  
[2024-03-31 10:01:46] [world] The Player <BTC> has picked 3 of COOKED_BEEF at X= -3148, Y= 63, Z= 983 that had [] enchantment(s) |  
[2024-03-31 10:01:46] [world] The Player <BTC> has picked 2 of LEATHER at X= -3149, Y= 64, Z= 982 that had [] enchantment(s) |  
[2024-03-31 10:01:49] [world] The Player <BTC> has picked 3 of COOKED_BEEF at X= -3148, Y= 63, Z= 989 that had [] enchantment(s) |  
[2024-03-31 10:01:49] [world] The Player <BTC> has picked 2 of LEATHER at X= -3147, Y= 63, Z= 989 that had [] enchantment(s) |  
[2024-03-31 10:01:51] [world] The Player <BTC> has picked 1 of LEATHER at X= -3144, Y= 62, Z= 989 that had [] enchantment(s) |  
[2024-03-31 10:37:13] [world] The Player <BTC> has picked 1 of DIRT at X= -3130, Y= 63, Z= 832 that had [] enchantment(s) |  
[2024-03-31 10:37:25] [world] The Player <BTC> has picked 1 of DIRT at X= -3130, Y= 62, Z= 832 that had [] enchantment(s) |  
[2024-03-31 12:48:09] [world] The Player <GolemDaWanderer> has picked 3 of ARROW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 12:49:11] [world] The Player <GolemDaWanderer> has picked 6 of BONE at X= -10298, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-31 12:49:41] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 12:51:32] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 12:51:50] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10296, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 12:52:14] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 12:54:35] [world] The Player <GolemDaWanderer> has picked 14 of BONE at X= -10298, Y= 35, Z= 4027 that had [] enchantment(s) |  
[2024-03-31 12:54:53] [world] The Player <GolemDaWanderer> has picked 4 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 12:55:25] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-31 12:56:02] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-31 12:56:20] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 12:57:50] [world] The Player <GolemDaWanderer> has picked 21 of BONE at X= -10297, Y= 36, Z= 4029 that had [] enchantment(s) |  
[2024-03-31 12:58:00] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10297, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 13:00:07] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 13:00:23] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-31 13:00:53] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 13:00:56] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 35, Z= 4032 that had [] enchantment(s) |  
