[2024-03-17 22:32:53] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 12501, Y= 103, Z= -2 | caused by FALL | 
[2024-03-17 22:33:11] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 101, Y= 23, Z= -2 | caused by FALL | 
[2024-03-17 22:37:56] [world] The Player <bagelz> has died with 28 level(s) at X= 1040, Y= 76, Z= 2329 | caused by FALL | 
[2024-03-17 22:40:34] [world] The Player <bagelz> has died with 28 level(s) at X= 1181, Y= 5, Z= 2453 | caused by FIRE_TICK | 
[2024-03-17 22:42:37] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 12501, Y= 77, Z= -3 | caused by FALL | 
[2024-03-17 22:45:20] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -113, Y= 31, Z= 108 | caused by LAVA | 
[2024-03-17 22:46:52] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 5, Y= 58, Z= 36 | caused by ENTITY_ATTACK | 
[2024-03-17 22:48:46] [world_the_end] The Player <Tester> has died with 31 level(s) at X= 113, Y= -189, Z= 2 | caused by VOID | 
[2024-03-17 22:48:57] [world_the_end] The Player <Tester> has died with 31 level(s) at X= 113, Y= -237, Z= 2 | caused by VOID | 
[2024-03-17 22:49:47] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -178, Y= 24, Z= 16 | caused by LAVA | 
[2024-03-17 22:50:05] [world] The Player <Brycethelegend> has died with 4 level(s) at X= -1594, Y= 12, Z= -212 | caused by MAGIC | 
[2024-03-17 22:50:22] [world] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -575, Y= 69, Z= 317 | caused by Player | Brycethelegend
[2024-03-17 22:50:43] [world] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -574, Y= 68, Z= 316 | caused by Player | NezukoChan
[2024-03-17 22:50:57] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 99, Y= 36, Z= -1 | caused by FALL | 
[2024-03-17 22:51:16] [world] The Player <Brycethelegend> has died with 5 level(s) at X= -1611, Y= 13, Z= -205 | caused by MAGIC | 
[2024-03-17 22:53:44] [world] The Player <Brycethelegend> has died with 6 level(s) at X= -1572, Y= 10, Z= -203 | caused by LAVA | 
[2024-03-17 22:57:52] [world_the_end] The Player <Brycethelegend> has died with 7 level(s) at X= -67, Y= -226, Z= 51 | caused by VOID | 
[2024-03-17 22:59:06] [world_nether] The Player <Brycethelegend> has died with 7 level(s) at X= -79, Y= 77, Z= -9 | caused by FIRE_TICK | 
[2024-03-17 23:02:25] [world] The Player <NezukoChan> has died with 24 level(s) at X= -10160, Y= 63, Z= 4101 | caused by Player | Char
[2024-03-17 23:04:13] [world_nether] The Player <Brycethelegend> has died with 9 level(s) at X= -151, Y= 24, Z= -55 | caused by LAVA | 
[2024-03-17 23:05:54] [world_nether] The Player <Brycethelegend> has died with 10 level(s) at X= 14, Y= 28, Z= 74 | caused by LAVA | 
[2024-03-17 23:07:15] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 99, Y= 24, Z= -1 | caused by FALL | 
[2024-03-17 23:12:24] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 124, Z= 503 | caused by SUFFOCATION | 
[2024-03-17 23:12:36] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 127, Z= 503 | caused by FALL | 
[2024-03-17 23:16:21] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 51, Z= 505 | caused by FALL | 
[2024-03-17 23:16:39] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 51, Z= 505 | caused by FALL | 
[2024-03-17 23:16:59] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 81, Z= 505 | caused by FALL | 
[2024-03-17 23:17:11] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 51, Z= 505 | caused by FALL | 
[2024-03-17 23:17:49] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 51, Z= 505 | caused by FALL | 
[2024-03-17 23:18:06] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 51, Z= 505 | caused by FALL | 
[2024-03-17 23:18:25] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1265, Y= 51, Z= 505 | caused by FALL | 
[2024-03-17 23:22:34] [world_nether] The Player <idkwhattoputhere> has died with 0 level(s) at X= -1261, Y= 124, Z= 518 | caused by Player | NezukoChan
[2024-03-17 23:22:45] [world_nether] The Player <NezukoChan> has died with 24 level(s) at X= -1258, Y= 128, Z= 518 | caused by FALL | 
[2024-03-17 23:23:59] [world_nether] The Player <idkwhattoputhere> has died with 0 level(s) at X= -1261, Y= 128, Z= 499 | caused by Player | NezukoChan
[2024-03-17 23:25:44] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= 100, Y= 36, Z= 0 | caused by FALL | 
[2024-03-17 23:27:18] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -166, Y= -197, Z= 46 | caused by VOID | 
[2024-03-17 23:36:40] [world] The Player <NezukoChan> has died with 24 level(s) at X= -10175, Y= 61, Z= 4122 | caused by FALL | 
[2024-03-17 23:44:30] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 106, Z= 38 | caused by FALL | 
[2024-03-17 23:44:51] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -169, Y= 106, Z= 38 | caused by FALL | 
[2024-03-17 23:45:20] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -167, Y= 57, Z= 37 | caused by FALL | 
[2024-03-17 23:50:39] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 105, Z= 38 | caused by FALL | 
[2024-03-17 23:59:17] [world] The Player <bagelz> has died with 28 level(s) at X= 1034, Y= 79, Z= 2305 | caused by FALL | 
[2024-03-18 00:00:18] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 105, Z= 38 | caused by FALL | 
