[2024-03-18 11:10:08] [world] The Player <qwerty> has died with 27 level(s) at X= -554, Y= 69, Z= 255 | caused by ENTITY_ATTACK | 
[2024-03-18 11:18:29] [world] The Player <Rip_Dogwater> has died with 81 level(s) at X= -707, Y= 68, Z= 296 | caused by FALL | 
[2024-03-18 11:33:46] [world] The Player <sharky> has died with 5 level(s) at X= -486, Y= 71, Z= -468 | caused by FALL | 
[2024-03-18 12:08:57] [world] The Player <Brycethelegend> has died with 11 level(s) at X= 103, Y= 48, Z= 1663 | caused by DROWNING | 
[2024-03-18 12:16:49] [world] The Player <Brycethelegend> has died with 12 level(s) at X= -613, Y= 72, Z= 328 | caused by FALL | 
[2024-03-18 12:18:50] [world_the_end] The Player <Brycethelegend> has died with 12 level(s) at X= 92, Y= -189, Z= -12 | caused by VOID | 
[2024-03-18 12:23:13] [world_nether] The Player <Brycethelegend> has died with 13 level(s) at X= -46, Y= 32, Z= 26 | caused by ENTITY_ATTACK | 
[2024-03-18 12:28:39] [world_nether] The Player <theproman3387> has died with 10 level(s) at X= -66, Y= 32, Z= 31 | caused by FIRE_TICK | 
[2024-03-18 12:31:12] [world_the_end] The Player <Rip_Dogwater> has died with 81 level(s) at X= 96, Y= -169, Z= -11 | caused by VOID | 
[2024-03-18 12:31:12] [world_the_end] The Player <theproman3387> has died with 10 level(s) at X= -54, Y= 45, Z= 6 | caused by FALL | 
[2024-03-18 12:33:51] [world_the_end] The Player <theproman3387> has died with 10 level(s) at X= -53, Y= 41, Z= -2 | caused by FALL | 
[2024-03-18 12:44:14] [world_the_end] The Player <Rip_Dogwater> has died with 81 level(s) at X= 19, Y= 59, Z= 20 | caused by ENTITY_ATTACK | 
[2024-03-18 12:52:57] [world_nether] The Player <Brycethelegend> has died with 19 level(s) at X= -139, Y= 33, Z= -95 | caused by FALL | 
[2024-03-18 12:59:57] [world_nether] The Player <Brycethelegend> has died with 19 level(s) at X= -138, Y= 56, Z= -96 | caused by FIRE_TICK | 
[2024-03-18 13:03:45] [world] The Player <kirbo> has died with 10 level(s) at X= -844, Y= 52, Z= 1213 | caused by DROWNING | 
[2024-03-18 13:30:34] [world] The Player <VeerIsKKK> has died with 25 level(s) at X= 502, Y= 65, Z= 2262 | caused by FALL | 
[2024-03-18 13:34:45] [world_the_end] The Player <VeerIsKKK> has died with 25 level(s) at X= 89, Y= -158, Z= -91 | caused by VOID | 
[2024-03-18 13:48:54] [world] The Player <Tester> has died with 32 level(s) at X= -10186, Y= 63, Z= 4110 | caused by Player | Koi
[2024-03-18 13:49:09] [world] The Player <Rip_Dogwater> has died with 81 level(s) at X= -10185, Y= 64, Z= 4120 | caused by Player | Koi
[2024-03-18 13:49:13] [world] The Player <Tester> has died with 32 level(s) at X= -10182, Y= 64, Z= 4118 | caused by Player | Koi
[2024-03-18 13:53:33] [world_nether] The Player <Brycethelegend> has died with 20 level(s) at X= -139, Y= 34, Z= -97 | caused by FIRE_TICK | 
[2024-03-18 13:54:13] [world] The Player <character> has died with 22 level(s) at X= -742, Y= 34, Z= 173 | caused by LAVA | 
[2024-03-18 13:55:54] [world] The Player <somebody139> has died with 0 level(s) at X= -579, Y= 9, Z= 354 | caused by FALL | 
[2024-03-18 13:56:18] [world] The Player <Sword4001> has died with 15 level(s) at X= -574, Y= 67, Z= 303 | caused by Player | VeerIsKKK
[2024-03-18 13:56:54] [world_the_end] The Player <VeerIsKKK> has died with 25 level(s) at X= 99, Y= -158, Z= -11 | caused by VOID | 
[2024-03-18 13:57:05] [world_nether] The Player <Brycethelegend> has died with 22 level(s) at X= -156, Y= 32, Z= -101 | caused by FIRE_TICK | 
[2024-03-18 13:59:32] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -55, Y= 87, Z= -43 | caused by LAVA | 
[2024-03-18 13:59:33] [world_the_end] The Player <Brycethelegend> has died with 22 level(s) at X= -19, Y= -67, Z= -48 | caused by VOID | 
[2024-03-18 14:00:09] [world_the_end] The Player <Pog4lifepeople> has died with 16 level(s) at X= 50, Y= 62, Z= 29 | caused by Player | VeerIsKKK
[2024-03-18 14:00:20] [world_the_end] The Player <VeerIsKKK> has died with 25 level(s) at X= 42, Y= 63, Z= 18 | caused by Player | WienerDogFace
[2024-03-18 14:00:35] [world] The Player <sharky> has died with 5 level(s) at X= -577, Y= 68, Z= 247 | caused by Player | Brycethelegend
[2024-03-18 14:00:45] [world_the_end] The Player <Pog4lifepeople> has died with 16 level(s) at X= 42, Y= 62, Z= 37 | caused by Player | WienerDogFace
[2024-03-18 14:02:13] [world_the_end] The Player <somebody139> has died with 0 level(s) at X= -16, Y= 58, Z= 7 | caused by ENTITY_ATTACK | 
[2024-03-18 14:03:02] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 26, Y= 63, Z= 11 | caused by Player | WienerDogFace
[2024-03-18 14:03:24] [world_the_end] The Player <somebody139> has died with 0 level(s) at X= 24, Y= 64, Z= 9 | caused by Player | WienerDogFace
[2024-03-18 14:04:13] [world_the_end] The Player <somebody139> has died with 0 level(s) at X= 15, Y= 60, Z= -8 | caused by Player | VeerIsKKK
[2024-03-18 14:04:17] [world_the_end] The Player <WienerDogFace> has died with 15 level(s) at X= 15, Y= 60, Z= -11 | caused by Player | VeerIsKKK
[2024-03-18 14:04:45] [world_the_end] The Player <somebody139> has died with 0 level(s) at X= 43, Y= 64, Z= 8 | caused by Player | VeerIsKKK
[2024-03-18 14:04:45] [world_the_end] The Player <WienerDogFace> has died with 15 level(s) at X= 41, Y= 64, Z= 8 | caused by Player | VeerIsKKK
[2024-03-18 14:04:51] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 34, Y= 63, Z= 4 | caused by Player | Tester
[2024-03-18 14:04:57] [world] The Player <somebody139> has died with 0 level(s) at X= -574, Y= 68, Z= 317 | caused by Player | VeerIsKKK
[2024-03-18 14:04:57] [world] The Player <WienerDogFace> has died with 15 level(s) at X= -574, Y= 68, Z= 317 | caused by Player | VeerIsKKK
