[2024-03-19 12:04:39] [world_the_end] The Player <qwerty> has died with 13 level(s) at X= 100, Y= 33, Z= -3 | caused by FALL | 
[2024-03-19 12:06:37] [world_the_end] The Player <qwerty> has died with 13 level(s) at X= 53, Y= 62, Z= 12 | caused by ENTITY_ATTACK | 
[2024-03-19 12:31:54] [world] The Player <General_Rihan> has died with 18 level(s) at X= -634, Y= 64, Z= 278 | caused by LAVA | 
[2024-03-19 12:37:35] [world] The Player <sharky> has died with 5 level(s) at X= -471, Y= 71, Z= -453 | caused by FALL | 
[2024-03-19 12:43:11] [world] The Player <Get_dick_slapped> has died with 0 level(s) at X= -747, Y= 64, Z= 489 | caused by ENTITY_ATTACK | 
[2024-03-19 12:45:02] [world] The Player <Get_dick_slapped> has died with 0 level(s) at X= -624, Y= 68, Z= 240 | caused by Player | hi_
[2024-03-19 13:49:47] [world] The Player <sharky> has died with 5 level(s) at X= -496, Y= 55, Z= -482 | caused by LAVA | 
[2024-03-19 13:59:29] [world] The Player <Rip_Dogwater> has died with 65 level(s) at X= -10170, Y= 61, Z= 4107 | caused by DROWNING | 
[2024-03-19 14:00:09] [world] The Player <minigamer> has died with 25 level(s) at X= -1550, Y= 10, Z= -202 | caused by LAVA | 
[2024-03-19 14:00:16] [world] The Player <minigamer> has died with 25 level(s) at X= -573, Y= 68, Z= 317 | caused by Player | WienerDogFace
[2024-03-19 14:00:25] [world] The Player <minigamer> has died with 25 level(s) at X= -571, Y= 69, Z= 321 | caused by Player | WienerDogFace
[2024-03-19 14:00:28] [world] The Player <minigamer> has died with 25 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | WienerDogFace
[2024-03-19 14:00:39] [world] The Player <minigamer> has died with 25 level(s) at X= -573, Y= 68, Z= 316 | caused by FIRE_TICK | 
[2024-03-19 14:00:46] [world] The Player <minigamer> has died with 25 level(s) at X= -571, Y= 69, Z= 315 | caused by Player | Rip_Dogwater
[2024-03-19 14:00:53] [world] The Player <minigamer> has died with 25 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | Rip_Dogwater
[2024-03-19 14:01:01] [world] The Player <MrBlob2U> has died with 29 level(s) at X= -613, Y= 25, Z= 183 | caused by FALL | 
[2024-03-19 14:01:19] [world] The Player <minigamer> has died with 25 level(s) at X= -572, Y= 69, Z= 313 | caused by Player | Rip_Dogwater
[2024-03-19 14:02:03] [world_the_end] The Player <somebody139> has died with 1 level(s) at X= 101, Y= -571, Z= 6 | caused by VOID | 
[2024-03-19 14:02:12] [world] The Player <A_Random_Doggo> has died with 0 level(s) at X= -571, Y= 68, Z= 283 | caused by Player | Milk_Frog
[2024-03-19 14:03:37] [world] The Player <somebody139> has died with 0 level(s) at X= -603, Y= 68, Z= 233 | caused by Player | WienerDogFace
[2024-03-19 14:03:54] [world] The Player <qwerty> has died with 18 level(s) at X= -569, Y= 88, Z= 286 | caused by Player | Rip_Dogwater
[2024-03-19 14:04:28] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= 523, Y= 79, Z= 2248 | caused by FALL | 
[2024-03-19 14:05:05] [world] The Player <hi_> has died with 13 level(s) at X= -1372, Y= 13, Z= -247 | caused by FALL | 
[2024-03-19 14:08:14] [world] The Player <qwerty> has died with 18 level(s) at X= -563, Y= 64, Z= 236 | caused by FALL | 
[2024-03-19 14:08:15] [world_the_end] The Player <somebody139> has died with 0 level(s) at X= 101, Y= -67, Z= 8 | caused by VOID | 
[2024-03-19 14:35:38] [world] The Player <dick_slap> has died with 1 level(s) at X= -637, Y= 71, Z= 522 | caused by ENTITY_EXPLOSION | 
[2024-03-19 14:36:34] [world_the_end] The Player <somebody139> has died with 0 level(s) at X= 98, Y= -153, Z= 2 | caused by VOID | 
[2024-03-19 14:38:12] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -532, Y= 65, Z= 289 | caused by FALL | 
[2024-03-19 14:40:00] [world_the_end] The Player <somebody139> has died with 3 level(s) at X= 59, Y= 35, Z= -20 | caused by FALL | 
[2024-03-19 14:42:11] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -775, Y= 70, Z= 827 | caused by FALL | 
[2024-03-19 14:42:45] [world] The Player <Rip_WillOfTheD> has died with 30 level(s) at X= -478, Y= 74, Z= 198 | caused by FALL | 
[2024-03-19 14:44:15] [world] The Player <dick_slap> has died with 5 level(s) at X= -886, Y= 66, Z= 846 | caused by ENTITY_ATTACK | 
[2024-03-19 14:50:56] [world] The Player <Rip_Dogwater> has died with 52 level(s) at X= -10108, Y= 7, Z= 4038 | caused by LAVA | 
[2024-03-19 15:01:21] [world] The Player <WienerDogFace> has died with 18 level(s) at X= -456, Y= 7, Z= 1327 | caused by LIGHTNING | 
[2024-03-19 15:02:45] [world] The Player <WienerDogFace> has died with 17 level(s) at X= -456, Y= 7, Z= 1327 | caused by Player | Char
[2024-03-19 15:04:32] [world] The Player <Rip_Dogwater> has died with 52 level(s) at X= 9987, Y= 71, Z= 1055 | caused by Player | WienerDogFace
[2024-03-19 15:05:20] [world] The Player <WienerDogFace> has died with 17 level(s) at X= 10003, Y= 72, Z= 1061 | caused by Player | Rip_Dogwater
[2024-03-19 15:05:40] [world] The Player <Rip_Dogwater> has died with 52 level(s) at X= 9995, Y= 69, Z= 1074 | caused by Player | WienerDogFace
[2024-03-19 15:06:09] [world] The Player <WienerDogFace> has died with 17 level(s) at X= 9982, Y= 71, Z= 1067 | caused by Player | Rip_Dogwater
[2024-03-19 15:06:23] [world] The Player <Rip_Dogwater> has died with 52 level(s) at X= 9989, Y= 71, Z= 1055 | caused by Player | Char
[2024-03-19 15:08:45] [world] The Player <Rip_Dogwater> has died with 52 level(s) at X= 9970, Y= 70, Z= 1106 | caused by ENTITY_EXPLOSION | 
