[2024-03-20 19:35:49] [world] The Player <qwerty> has died with 13 level(s) at X= -640, Y= 63, Z= -806 | caused by ENTITY_EXPLOSION | 
[2024-03-20 19:46:56] [world] The Player <Brycethelegend> has died with 8 level(s) at X= -663, Y= 7, Z= 302 | caused by LAVA | 
[2024-03-20 19:47:08] [world_the_end] The Player <theproman3387> has died with 12 level(s) at X= -39, Y= 58, Z= 24 | caused by FALL | 
[2024-03-20 19:49:49] [world_the_end] The Player <theproman3387> has died with 12 level(s) at X= 99, Y= 24, Z= -1 | caused by FALL | 
[2024-03-20 19:50:52] [world_nether] The Player <qwerty> has died with 13 level(s) at X= -70, Y= 59, Z= 22 | caused by ENTITY_ATTACK | 
[2024-03-20 19:52:44] [world] The Player <qwerty> has died with 13 level(s) at X= -597, Y= 68, Z= 283 | caused by FIRE_TICK | 
[2024-03-20 19:55:04] [world] The Player <theproman3387> has died with 13 level(s) at X= -567, Y= 50, Z= 20 | caused by DROWNING | 
[2024-03-20 20:00:20] [world] The Player <Mudkips_Rule> has died with 29 level(s) at X= -1493, Y= 10, Z= -339 | caused by Player | I_am_amazing
[2024-03-20 20:02:34] [world_the_end] The Player <theproman3387> has died with 13 level(s) at X= -57, Y= -190, Z= -30 | caused by VOID | 
[2024-03-20 20:03:54] [world_the_end] The Player <theproman3387> has died with 13 level(s) at X= -57, Y= -1097, Z= -30 | caused by VOID | 
[2024-03-20 20:09:04] [world] The Player <hexa> has died with 18 level(s) at X= -2539, Y= 65, Z= 570 | caused by FALL | 
[2024-03-20 20:09:19] [world] The Player <hexa> has died with 18 level(s) at X= -2536, Y= 64, Z= 572 | caused by Player | Char
[2024-03-20 20:09:39] [world] The Player <hexa> has died with 18 level(s) at X= -2538, Y= 64, Z= 565 | caused by Player | Char
[2024-03-20 20:13:54] [world] The Player <theproman3387> has died with 15 level(s) at X= -603, Y= 18, Z= 376 | caused by LAVA | 
[2024-03-20 20:14:26] [world_the_end] The Player <theproman3387> has died with 15 level(s) at X= 113, Y= -190, Z= -3 | caused by VOID | 
[2024-03-20 20:15:32] [world] The Player <astronomy> has died with 13 level(s) at X= 1805, Y= 39, Z= 289 | caused by SUFFOCATION | 
[2024-03-20 20:16:12] [world] The Player <Tester> has died with 15 level(s) at X= -547, Y= 68, Z= 254 | caused by Player | Corner1
[2024-03-20 20:19:53] [world] The Player <Tester> has died with 12 level(s) at X= -2528, Y= 64, Z= 583 | caused by Player | Char
[2024-03-20 20:20:00] [world] The Player <Tester> has died with 12 level(s) at X= -10177, Y= 63, Z= 4115 | caused by Player | Char
[2024-03-20 20:20:20] [world] The Player <Tester> has died with 12 level(s) at X= -10175, Y= 63, Z= 4115 | caused by Player | Char
[2024-03-20 20:21:12] [world] The Player <Tester> has died with 12 level(s) at X= -10163, Y= 63, Z= 4116 | caused by ENTITY_ATTACK | 
[2024-03-20 20:21:22] [world] The Player <Tester> has died with 12 level(s) at X= -10177, Y= 63, Z= 4115 | caused by ENTITY_ATTACK | 
[2024-03-20 20:21:33] [world] The Player <Tester> has died with 12 level(s) at X= -10178, Y= 63, Z= 4114 | caused by Player | Char
[2024-03-20 20:22:14] [world] The Player <Tester> has died with 13 level(s) at X= -10159, Y= 63, Z= 4104 | caused by ENTITY_ATTACK | 
[2024-03-20 20:22:48] [world_the_end] The Player <theproman3387> has died with 15 level(s) at X= 99, Y= -155, Z= 17 | caused by VOID | 
[2024-03-20 20:22:52] [world] The Player <Tester> has died with 13 level(s) at X= -10178, Y= 63, Z= 4101 | caused by Player | Corner1
[2024-03-20 20:24:35] [world] The Player <Char> has died with 891 level(s) at X= -10179, Y= 67, Z= 4116 | caused by VOID | 
[2024-03-20 20:24:35] [world] The Player <Corner1> has died with 33 level(s) at X= -10177, Y= 66, Z= 4114 | caused by VOID | 
[2024-03-20 20:24:35] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -10177, Y= 64, Z= 4121 | caused by VOID | 
[2024-03-20 20:24:35] [world] The Player <theproman3387> has died with 15 level(s) at X= -10175, Y= 64, Z= 4121 | caused by VOID | 
[2024-03-20 20:24:35] [world] The Player <Tester> has died with 14 level(s) at X= -10175, Y= 64, Z= 4121 | caused by VOID | 
[2024-03-20 20:24:35] [world] The Player <astronomy> has died with 13 level(s) at X= -10175, Y= 64, Z= 4124 | caused by VOID | 
[2024-03-20 20:24:35] [world] The Player <I_am_amazing> has died with 566 level(s) at X= -10178, Y= 64, Z= 4126 | caused by VOID | 
[2024-03-20 20:24:41] [world] The Player <Char> has died with 891 level(s) at X= -10177, Y= 66, Z= 4111 | caused by VOID | 
[2024-03-20 20:24:41] [world] The Player <Corner1> has died with 33 level(s) at X= -574, Y= 68, Z= 316 | caused by VOID | 
[2024-03-20 20:24:41] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -573, Y= 68, Z= 316 | caused by VOID | 
[2024-03-20 20:24:41] [world] The Player <I_am_amazing> has died with 566 level(s) at X= -573, Y= 68, Z= 316 | caused by VOID | 
[2024-03-20 20:24:41] [world] The Player <astronomy> has died with 13 level(s) at X= -573, Y= 68, Z= 316 | caused by VOID | 
[2024-03-20 20:24:41] [world] The Player <theproman3387> has died with 15 level(s) at X= -573, Y= 68, Z= 316 | caused by VOID | 
[2024-03-20 20:25:11] [world] The Player <NezukoChan> has died with 12 level(s) at X= -10174, Y= 64, Z= 4121 | caused by Player | Mudkips_Rule
[2024-03-20 20:25:54] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -579, Y= 66, Z= 298 | caused by Player | hexa
[2024-03-20 20:26:15] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -584, Y= 67, Z= 294 | caused by Player | hexa
[2024-03-20 20:26:23] [world] The Player <Mudkips_Rule> has died with 30 level(s) at X= -1355, Y= 61, Z= -269 | caused by Player | I_am_amazing
[2024-03-20 20:26:34] [world] The Player <Mudkips_Rule> has died with 30 level(s) at X= -573, Y= 68, Z= 317 | caused by Player | hexa
[2024-03-20 20:26:35] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -574, Y= 69, Z= 314 | caused by Player | hexa
[2024-03-20 20:26:41] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -573, Y= 70, Z= 316 | caused by Player | hexa
[2024-03-20 20:26:44] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | hexa
[2024-03-20 20:26:49] [world] The Player <Mudkips_Rule> has died with 30 level(s) at X= -569, Y= 68, Z= 329 | caused by Player | hexa
[2024-03-20 20:27:30] [world] The Player <hexa> has died with 18 level(s) at X= -570, Y= 64, Z= 295 | caused by Player | Char
[2024-03-20 20:34:01] [world_the_end] The Player <theproman3387> has died with 16 level(s) at X= -76, Y= -159, Z= -5 | caused by VOID | 
[2024-03-20 20:38:34] [world] The Player <Mudkips_Rule> has died with 30 level(s) at X= -1355, Y= 62, Z= -268 | caused by Player | I_am_amazing
[2024-03-20 20:38:47] [world] The Player <hexa> has died with 18 level(s) at X= -570, Y= 69, Z= 320 | caused by Player | Mudkips_Rule
[2024-03-20 20:39:05] [world] The Player <hexa> has died with 18 level(s) at X= -574, Y= 68, Z= 345 | caused by Player | Mudkips_Rule
[2024-03-20 20:43:37] [world] The Player <Mudkips_Rule> has died with 30 level(s) at X= -1351, Y= 54, Z= -274 | caused by Player | I_am_amazing
[2024-03-20 20:44:30] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 100, Y= -191, Z= 21 | caused by VOID | 
[2024-03-20 20:44:46] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= 100, Y= -198, Z= 10 | caused by VOID | 
[2024-03-20 20:45:16] [world] The Player <astronomy> has died with 12 level(s) at X= 1799, Y= 38, Z= 290 | caused by Player | hexa
[2024-03-20 20:45:43] [world] The Player <astronomy> has died with 12 level(s) at X= 1800, Y= 38, Z= 297 | caused by Player | hexa
[2024-03-20 20:46:10] [world] The Player <astronomy> has died with 12 level(s) at X= 1802, Y= 38, Z= 287 | caused by Player | hexa
[2024-03-20 20:46:27] [world] The Player <hexa> has died with 18 level(s) at X= -2541, Y= 64, Z= 559 | caused by Player | Char
[2024-03-20 20:55:03] [world] The Player <astronomy> has died with 12 level(s) at X= 1805, Y= 39, Z= 290 | caused by SUFFOCATION | 
[2024-03-20 21:05:30] [world] The Player <hexa> has died with 16 level(s) at X= 1804, Y= 37, Z= 290 | caused by Player | Char
[2024-03-20 21:07:13] [world_the_end] The Player <hexa> has died with 16 level(s) at X= 100, Y= 21, Z= -4 | caused by FALL | 
[2024-03-20 21:17:09] [world] The Player <astronomy> has died with 12 level(s) at X= 1806, Y= 38, Z= 290 | caused by Player | NezukoChan
[2024-03-20 21:22:05] [world] The Player <hexa> has died with 17 level(s) at X= -2518, Y= 62, Z= 581 | caused by FALL | 
[2024-03-20 21:24:30] [world] The Player <A_Random_Person> has died with 26 level(s) at X= 1803, Y= 39, Z= 289 | caused by Player | astronomy
[2024-03-20 21:34:45] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -1302, Y= 8, Z= -198 | caused by FIRE_TICK | 
[2024-03-20 21:38:24] [world] The Player <NezukoChan> has died with 12 level(s) at X= -10175, Y= 62, Z= 4115 | caused by Player | Char
[2024-03-20 21:42:01] [world] The Player <GolemDaWanderer> has died with 10 level(s) at X= 9857, Y= 65, Z= -9955 | caused by Player | Char
[2024-03-20 21:50:15] [world] The Player <NezukoChan> has died with 12 level(s) at X= 1879, Y= 49, Z= 156 | caused by Player | Char
[2024-03-20 21:50:24] [world] The Player <astronomy> has died with 13 level(s) at X= 1880, Y= 44, Z= 159 | caused by Player | Char
[2024-03-20 21:50:31] [world] The Player <A_Random_Person> has died with 27 level(s) at X= -1296, Y= 9, Z= -102 | caused by FIRE_TICK | 
[2024-03-20 21:50:40] [world] The Player <hexa> has died with 18 level(s) at X= -2541, Y= 63, Z= 556 | caused by LAVA | 
[2024-03-20 22:00:49] [world] The Player <hexa> has died with 18 level(s) at X= -674, Y= 62, Z= 432 | caused by LAVA | 
[2024-03-20 22:08:30] [world_nether] The Player <idkwhattoputhere> has died with 0 level(s) at X= -90, Y= 50, Z= 82 | caused by FALL | 
[2024-03-20 22:12:06] [world] The Player <NezukoChan> has died with 12 level(s) at X= -2545, Y= 65, Z= 565 | caused by Player | hexa
[2024-03-20 22:12:26] [world] The Player <hexa> has died with 19 level(s) at X= -2522, Y= 62, Z= 570 | caused by Player | NezukoChan
[2024-03-20 22:16:31] [world_the_end] The Player <NezukChan> has died with 0 level(s) at X= 99, Y= 49, Z= 0 | caused by LAVA | 
[2024-03-20 22:16:40] [world] The Player <astronomy> has died with 1 level(s) at X= -2552, Y= 61, Z= 562 | caused by ENTITY_ATTACK | 
[2024-03-20 22:16:50] [world] The Player <NezukChan> has died with 0 level(s) at X= -569, Y= 69, Z= 325 | caused by Player | A_Random_Person
[2024-03-20 22:17:06] [world] The Player <NezukChan> has died with 0 level(s) at X= -565, Y= 69, Z= 322 | caused by Player | A_Random_Person
[2024-03-20 22:17:11] [world] The Player <astronomy> has died with 2 level(s) at X= -2553, Y= 61, Z= 562 | caused by ENTITY_ATTACK | 
