[2024-03-21 19:46:43] [world] The Player <astronomy> has died with 23 level(s) at X= -1551, Y= 69, Z= -122 | caused by Player | Mudkips_Rule
[2024-03-21 19:47:52] [world] The Player <Mudkips_Rule> has died with 28 level(s) at X= -578, Y= 68, Z= 275 | caused by Player | hi_
[2024-03-21 19:48:15] [world] The Player <Dave_TheCoolGuy> has died with 13 level(s) at X= -585, Y= 70, Z= 215 | caused by DROWNING | 
[2024-03-21 19:49:50] [world] The Player <hi_> has died with 13 level(s) at X= -582, Y= 68, Z= 289 | caused by Player | Mudkips_Rule
[2024-03-21 19:50:12] [world] The Player <Dave_TheCoolGuy> has died with 13 level(s) at X= -585, Y= 70, Z= 215 | caused by DROWNING | 
[2024-03-21 19:51:17] [world] The Player <Dave_TheCoolGuy> has died with 13 level(s) at X= -713, Y= 63, Z= 301 | caused by SUFFOCATION | 
[2024-03-21 20:00:11] [world_the_end] The Player <hi_> has died with 14 level(s) at X= 21, Y= 61, Z= -33 | caused by ENTITY_ATTACK | 
[2024-03-21 20:01:12] [world_nether] The Player <hi_> has died with 14 level(s) at X= -99, Y= 31, Z= 48 | caused by FALL | 
[2024-03-21 20:05:35] [world_nether] The Player <hi_> has died with 15 level(s) at X= 58, Y= 41, Z= 47 | caused by LAVA | 
[2024-03-21 20:07:16] [world_nether] The Player <hi_> has died with 15 level(s) at X= -69, Y= 71, Z= 29 | caused by ENTITY_ATTACK | 
[2024-03-21 20:17:55] [world] The Player <Dave_TheCoolGuy> has died with 13 level(s) at X= -587, Y= 68, Z= 307 | caused by Player | NezukoChan
[2024-03-21 20:18:19] [world] The Player <astronomy> has died with 24 level(s) at X= -10175, Y= 64, Z= 4129 | caused by SUFFOCATION | 
[2024-03-21 20:18:35] [world] The Player <NezukoChan> has died with 12 level(s) at X= -648, Y= 68, Z= 328 | caused by FALL | 
[2024-03-21 20:24:03] [world] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -740, Y= 56, Z= 301 | caused by PROJECTILE | 
[2024-03-21 20:24:40] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -169, Y= 57, Z= 37 | caused by FALL | 
[2024-03-21 20:26:34] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -169, Y= 57, Z= 37 | caused by FIRE_TICK | 
[2024-03-21 20:37:08] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -168, Y= 57, Z= 39 | caused by FALL | 
[2024-03-21 20:38:13] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -169, Y= 102, Z= 43 | caused by ENTITY_ATTACK | 
[2024-03-21 20:38:45] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -167, Y= 72, Z= 45 | caused by FALL | 
[2024-03-21 20:40:52] [world] The Player <hi_> has died with 19 level(s) at X= -1157, Y= 48, Z= -436 | caused by LAVA | 
[2024-03-21 20:41:05] [world] The Player <character> has died with 19 level(s) at X= -369, Y= 86, Z= -58 | caused by DROWNING | 
[2024-03-21 21:25:25] [world_the_end] The Player <Tester> has died with 20 level(s) at X= -167, Y= -192, Z= 45 | caused by VOID | 
[2024-03-21 21:34:53] [world] The Player <Tester> has died with 21 level(s) at X= -10320, Y= 63, Z= 4021 | caused by PROJECTILE | 
[2024-03-21 22:23:28] [world] The Player <NezukoChan> has died with 14 level(s) at X= 1839, Y= 10, Z= 259 | caused by ENTITY_EXPLOSION | 
[2024-03-21 22:24:36] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -21, Y= 59, Z= -11 | caused by ENTITY_ATTACK | 
[2024-03-21 22:54:50] [world] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -655, Y= 68, Z= 309 | caused by FIRE | 
[2024-03-21 23:10:59] [world] The Player <Heinrich_Himmler> has died with 23 level(s) at X= -986, Y= 58, Z= 335 | caused by DROWNING | 
[2024-03-21 23:23:08] [world] The Player <Heinrich_Himmler> has died with 23 level(s) at X= 99966, Y= 34, Z= 48 | caused by DROWNING | 
[2024-03-21 23:23:43] [world] The Player <Heinrich_Himmler> has died with 23 level(s) at X= 99966, Y= 53, Z= 48 | caused by DROWNING | 
[2024-03-21 23:25:19] [world] The Player <Heinrich_Himmler> has died with 23 level(s) at X= 100021, Y= 60, Z= 113 | caused by DROWNING | 
[2024-03-21 23:41:22] [world_nether] The Player <Heinrich_Himmler> has died with 20 level(s) at X= 12501, Y= 85, Z= -3 | caused by FALL | 
[2024-03-21 23:48:03] [world_nether] The Player <Heinrich_Himmler> has died with 20 level(s) at X= 12472, Y= 33, Z= -34 | caused by LAVA | 
[2024-03-21 23:48:35] [world] The Player <NezukoChan> has died with 18 level(s) at X= 1837, Y= 8, Z= 180 | caused by LAVA | 
[2024-03-21 23:50:51] [world_nether] The Player <Heinrich_Himmler> has died with 21 level(s) at X= -176, Y= 27, Z= 63 | caused by LAVA | 
[2024-03-21 23:55:24] [world] The Player <Heinrich_Himmler> has died with 21 level(s) at X= -590, Y= 17, Z= 390 | caused by FALL | 
[2024-03-22 00:08:24] [world_nether] The Player <Heinrich_Himmler> has died with 21 level(s) at X= 12500, Y= 77, Z= -2 | caused by FALL | 
[2024-03-22 00:11:44] [world_the_end] The Player <Heinrich_Himmler> has died with 21 level(s) at X= -160, Y= 101, Z= 30 | caused by ENTITY_ATTACK | 
[2024-03-22 00:15:02] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= -159, Y= 101, Z= 46 | caused by ENTITY_ATTACK | 
[2024-03-22 00:15:53] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= 61, Y= 62, Z= 23 | caused by ENTITY_ATTACK | 
[2024-03-22 00:20:09] [world_the_end] The Player <Heinrich_Himmler> has died with 22 level(s) at X= 84, Y= 29, Z= -8 | caused by FALL | 
