[2024-03-24 21:55:41] [world_the_end] The Player <GolemDaWanderer> has died with 42 level(s) at X= 15, Y= -126, Z= 88 | caused by VOID | 
[2024-03-24 21:58:55] [world] The Player <Tester> has died with 63 level(s) at X= -574, Y= 69, Z= 314 | caused by FALL | 
[2024-03-24 22:00:36] [world_the_end] The Player <NezukoChan> has died with 36 level(s) at X= -31, Y= -67, Z= -50 | caused by VOID | 
[2024-03-24 22:06:38] [world] The Player <Tester> has died with 65 level(s) at X= -10299, Y= 36, Z= 4030 | caused by ENTITY_EXPLOSION | 
[2024-03-24 22:07:01] [world] The Player <GolemDaWanderer> has died with 45 level(s) at X= -10297, Y= 35, Z= 4028 | caused by LIGHTNING | 
[2024-03-24 22:07:02] [world] The Player <Tester> has died with 65 level(s) at X= -10298, Y= 35, Z= 4030 | caused by LIGHTNING | 
[2024-03-24 22:13:17] [world] The Player <NezukoChan> has died with 40 level(s) at X= -10300, Y= 37, Z= 4031 | caused by FALL | 
[2024-03-24 22:13:38] [world] The Player <NezukoChan> has died with 40 level(s) at X= -10300, Y= 46, Z= 4031 | caused by FALL | 
[2024-03-24 22:13:55] [world] The Player <NezukoChan> has died with 40 level(s) at X= -10300, Y= 49, Z= 4035 | caused by FALL | 
[2024-03-24 22:15:46] [world] The Player <GolemDaWanderer> has died with 45 level(s) at X= -10299, Y= 35, Z= 4028 | caused by Player | NezukoChan
[2024-03-24 22:57:33] [world_the_end] The Player <GolemDaWanderer> has died with 47 level(s) at X= 90, Y= 24, Z= 5 | caused by FALL | 
[2024-03-24 22:58:08] [world] The Player <GolemDaWanderer> has died with 47 level(s) at X= -555, Y= 65, Z= 369 | caused by FIRE_TICK | 
[2024-03-24 23:42:53] [world_the_end] The Player <Heinrich_Himmler> has died with 4 level(s) at X= -8, Y= 58, Z= -66 | caused by ENTITY_ATTACK | 
[2024-03-24 23:48:28] [world_the_end] The Player <Heinrich_Himmler> has died with 4 level(s) at X= -9, Y= -65, Z= -57 | caused by VOID | 
[2024-03-24 23:52:37] [world_the_end] The Player <Heinrich_Himmler> has died with 9 level(s) at X= -16, Y= 57, Z= -69 | caused by FALL | 
[2024-03-25 00:11:30] [world_nether] The Player <Brycethelegend> has died with 6 level(s) at X= -237, Y= 52, Z= -131 | caused by LAVA | 
[2024-03-25 00:13:14] [world_nether] The Player <Brycethelegend> has died with 8 level(s) at X= -291, Y= 56, Z= -136 | caused by LAVA | 
[2024-03-25 00:13:25] [world_nether] The Player <Brycethelegend> has died with 8 level(s) at X= -293, Y= 55, Z= -136 | caused by LAVA | 
[2024-03-25 00:13:50] [world_nether] The Player <Brycethelegend> has died with 8 level(s) at X= -304, Y= 54, Z= -135 | caused by FIRE_TICK | 
[2024-03-25 00:18:16] [world_nether] The Player <Brycethelegend> has died with 10 level(s) at X= -292, Y= 64, Z= -57 | caused by ENTITY_ATTACK | 
[2024-03-25 00:20:31] [world_nether] The Player <Brycethelegend> has died with 13 level(s) at X= -273, Y= 42, Z= -84 | caused by PROJECTILE | 
[2024-03-25 00:24:41] [world_nether] The Player <Brycethelegend> has died with 14 level(s) at X= -294, Y= 54, Z= -139 | caused by LAVA | 
[2024-03-25 00:26:10] [world] The Player <NezukoChan> has died with 42 level(s) at X= -10164, Y= 47, Z= 4125 | caused by FALL | 
[2024-03-25 00:26:19] [world_nether] The Player <Brycethelegend> has died with 15 level(s) at X= -208, Y= 28, Z= -206 | caused by LAVA | 
[2024-03-25 00:38:55] [world_nether] The Player <Brycethelegend> has died with 14 level(s) at X= -260, Y= 72, Z= -70 | caused by FIRE_TICK | 
[2024-03-25 00:42:22] [world_nether] The Player <Brycethelegend> has died with 14 level(s) at X= -220, Y= 46, Z= 0 | caused by LAVA | 
[2024-03-25 00:46:33] [world] The Player <Brycethelegend> has died with 14 level(s) at X= -1310, Y= 57, Z= -295 | caused by DROWNING | 
[2024-03-25 00:55:06] [world] The Player <Brycethelegend> has died with 15 level(s) at X= -635, Y= 68, Z= 295 | caused by FALL | 
[2024-03-25 01:03:57] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 54, Y= -183, Z= 18 | caused by VOID | 
[2024-03-25 01:06:12] [world_the_end] The Player <Brycethelegend> has died with 15 level(s) at X= 39, Y= 62, Z= 14 | caused by ENTITY_ATTACK | 
[2024-03-25 01:34:30] [world_the_end] The Player <Heinrich_Himmler> has died with 11 level(s) at X= -24, Y= 38, Z= 88 | caused by FALL | 
[2024-03-25 01:37:48] [world_the_end] The Player <Heinrich_Himmler> has died with 11 level(s) at X= 9, Y= 62, Z= -38 | caused by PROJECTILE | 
[2024-03-25 01:40:16] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 44, Y= 1, Z= 183 | caused by FALL | 
[2024-03-25 01:41:42] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -56, Y= 39, Z= -8 | caused by FALL | 
[2024-03-25 01:50:26] [world_the_end] The Player <Heinrich_Himmler> has died with 13 level(s) at X= -24, Y= 59, Z= -41 | caused by ENTITY_ATTACK | 
[2024-03-25 01:59:17] [world_the_end] The Player <Heinrich_Himmler> has died with 13 level(s) at X= -169, Y= 55, Z= 38 | caused by FALL | 
[2024-03-25 02:15:52] [world_nether] The Player <Heinrich_Himmler> has died with 14 level(s) at X= 0, Y= 75, Z= -8 | caused by FALL | 
[2024-03-25 02:17:30] [world_nether] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -1, Y= 29, Z= 11 | caused by LAVA | 
[2024-03-25 13:10:57] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= -33, Y= -95, Z= -67 | caused by VOID | 
[2024-03-25 13:12:38] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= -33, Y= 2, Z= -52 | caused by FALL | 
[2024-03-25 13:13:09] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= -34, Y= -179, Z= -56 | caused by VOID | 
[2024-03-25 13:15:32] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= -45, Y= -65, Z= -63 | caused by VOID | 
[2024-03-25 13:22:34] [world] The Player <NezukoChan> has died with 42 level(s) at X= -10209, Y= 68, Z= 4103 | caused by FALL | 
