[2024-03-25 20:48:39] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10185, Y= 54, Z= 4105 | caused by DROWNING | 
[2024-03-25 20:49:46] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10185, Y= 54, Z= 4105 | caused by DROWNING | 
[2024-03-25 20:50:10] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10185, Y= 54, Z= 4105 | caused by DROWNING | 
[2024-03-25 22:26:17] [world_the_end] The Player <NezukoChan> has died with 42 level(s) at X= 90, Y= 22, Z= 9 | caused by FALL | 
[2024-03-25 22:33:25] [world] The Player <Marshtomp17> has died with 0 level(s) at X= -582, Y= 79, Z= 257 | caused by Player | Mudkips_Rule
[2024-03-25 22:37:27] [world_the_end] The Player <GolemDaWanderer> has died with 50 level(s) at X= 78, Y= -154, Z= 30 | caused by VOID | 
[2024-03-25 22:38:10] [world_the_end] The Player <GolemDaWanderer> has died with 50 level(s) at X= 103, Y= -191, Z= 1 | caused by VOID | 
[2024-03-25 22:39:58] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -582, Y= 57, Z= 271 | caused by LAVA | 
[2024-03-25 22:41:45] [world_the_end] The Player <GolemDaWanderer> has died with 50 level(s) at X= 65, Y= 60, Z= 36 | caused by ENTITY_ATTACK | 
[2024-03-25 22:41:49] [world] The Player <Tester> has died with 65 level(s) at X= -578, Y= 68, Z= 255 | caused by Player | Char
[2024-03-25 22:43:40] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10176, Y= 62, Z= 4111 | caused by SUFFOCATION | 
[2024-03-25 22:45:39] [world] The Player <NezukoChan> has died with 42 level(s) at X= -10160, Y= 63, Z= 4117 | caused by Player | GolemDaWanderer
[2024-03-25 23:15:38] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -978, Y= 76, Z= 997 | caused by VOID | 
[2024-03-25 23:16:27] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -977, Y= 75, Z= 993 | caused by BLOCK_EXPLOSION | 
[2024-03-25 23:16:58] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -952, Y= 72, Z= 979 | caused by WITHER | 
[2024-03-25 23:17:46] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10173, Y= 64, Z= 4117 | caused by BLOCK_EXPLOSION | 
[2024-03-25 23:52:44] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10162, Y= 61, Z= 4108 | caused by DROWNING | 
[2024-03-26 00:46:26] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 9946, Y= 30, Z= -9930 | caused by FALL | 
[2024-03-26 01:32:06] [world] The Player <NezukoChan> has died with 42 level(s) at X= 10021, Y= 64, Z= -10002 | caused by FALL | 
[2024-03-26 01:32:34] [world] The Player <NezukoChan> has died with 42 level(s) at X= -10197, Y= 63, Z= 4058 | caused by WITHER | 
[2024-03-26 11:22:30] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 10007, Y= 9, Z= -9941 | caused by FALL | 
[2024-03-26 11:22:49] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 10008, Y= 67, Z= -9941 | caused by FALL | 
[2024-03-26 13:03:04] [world] The Player <NezukoChan> has died with 42 level(s) at X= -575, Y= 68, Z= 240 | caused by FALL | 
[2024-03-26 13:27:52] [world] The Player <NezukoChan> has died with 42 level(s) at X= -573, Y= 66, Z= 300 | caused by FALL | 
[2024-03-26 21:10:21] [world] The Player <Tester> has died with 65 level(s) at X= -579, Y= 88, Z= 260 | caused by ENTITY_EXPLOSION | 
[2024-03-26 21:32:14] [world_nether] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -90, Y= 37, Z= 71 | caused by FALL | 
[2024-03-26 21:34:17] [world_nether] The Player <Heinrich_Himmler> has died with 14 level(s) at X= 8, Y= 29, Z= -1 | caused by LAVA | 
[2024-03-26 21:51:32] [world] The Player <Tester> has died with 65 level(s) at X= -608, Y= 68, Z= 362 | caused by ENTITY_EXPLOSION | 
[2024-03-26 22:22:11] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10194, Y= 63, Z= 4077 | caused by WITHER | 
[2024-03-26 22:22:21] [world] The Player <NezukoChan> has died with 42 level(s) at X= -10194, Y= 63, Z= 4075 | caused by WITHER | 
[2024-03-26 22:32:35] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10644, Y= 71, Z= 4275 | caused by LAVA | 
[2024-03-26 22:32:58] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10644, Y= 71, Z= 4275 | caused by LAVA | 
[2024-03-26 22:33:09] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10644, Y= 71, Z= 4275 | caused by LAVA | 
[2024-03-26 22:43:48] [world] The Player <Tester> has died with 65 level(s) at X= -10175, Y= 63, Z= 4117 | caused by VOID | 
[2024-03-26 22:43:48] [world] The Player <NezukoChan> has died with 42 level(s) at X= 100, Y= 987, Z= 100 | caused by VOID | 
[2024-03-26 22:44:21] [world] The Player <NezukoChan> has died with 42 level(s) at X= -10166, Y= 63, Z= 4098 | caused by WITHER | 
[2024-03-26 22:44:53] [world] The Player <NezukoChan> has died with 42 level(s) at X= -10166, Y= 63, Z= 4098 | caused by WITHER | 
