[2024-03-27 20:06:32] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -581, Y= 23, Z= 160 | caused by FALL | 
[2024-03-27 20:09:16] [world_the_end] The Player <GolemDaWanderer> has died with 50 level(s) at X= -30, Y= -186, Z= -14 | caused by VOID | 
[2024-03-27 20:47:58] [world_the_end] The Player <Heinrich_Himmler> has died with 14 level(s) at X= 92, Y= -125, Z= -10 | caused by VOID | 
[2024-03-27 20:51:48] [world_the_end] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -55, Y= -66, Z= 51 | caused by VOID | 
[2024-03-27 20:52:15] [world_nether] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -5, Y= 29, Z= 6 | caused by LAVA | 
[2024-03-27 20:54:39] [world_the_end] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -52, Y= -187, Z= -65 | caused by VOID | 
[2024-03-27 20:55:41] [world_the_end] The Player <Heinrich_Himmler> has died with 14 level(s) at X= 99, Y= -65, Z= -5 | caused by VOID | 
[2024-03-27 21:03:08] [world_the_end] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -67, Y= 26, Z= 2 | caused by FALL | 
[2024-03-27 21:07:44] [world_the_end] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -20, Y= 58, Z= -4 | caused by ENTITY_ATTACK | 
[2024-03-27 21:08:30] [world_the_end] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -24, Y= 58, Z= -11 | caused by ENTITY_ATTACK | 
[2024-03-27 21:08:44] [world_nether] The Player <Heinrich_Himmler> has died with 14 level(s) at X= -3, Y= 29, Z= 7 | caused by LAVA | 
[2024-03-27 21:14:21] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 82, Y= 31, Z= -6 | caused by FALL | 
[2024-03-27 21:24:20] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -566, Y= 6, Z= 291 | caused by ENTITY_ATTACK | 
[2024-03-27 21:29:29] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -23, Y= 61, Z= -27 | caused by LAVA | 
[2024-03-27 21:30:34] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 6, Y= 59, Z= 12 | caused by ENTITY_ATTACK | 
[2024-03-27 21:41:13] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 2, Y= 58, Z= -68 | caused by FALL | 
[2024-03-27 22:05:18] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 102, Y= 17, Z= 5 | caused by FALL | 
[2024-03-27 22:08:25] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -580, Y= 69, Z= 340 | caused by Player | Char
[2024-03-27 23:13:31] [world] The Player <Tester> has died with 21863 level(s) at X= 1055, Y= 60, Z= 711 | caused by Player | Char
[2024-03-27 23:13:42] [world] The Player <Feathery> has died with 614 level(s) at X= 1050, Y= 62, Z= 716 | caused by Player | Char
[2024-03-27 23:21:30] [world] The Player <Feathery> has died with 614 level(s) at X= 1053, Y= 24, Z= 693 | caused by Player | Char
[2024-03-27 23:22:53] [world] The Player <Feathery> has died with 614 level(s) at X= 1046, Y= 25, Z= 684 | caused by Player | Char
[2024-03-27 23:23:10] [world_nether] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -15, Y= 36, Z= -6 | caused by FALL | 
[2024-03-27 23:23:40] [world] The Player <Char> has died with 892 level(s) at X= 1051, Y= 25, Z= 688 | caused by Player | Char
[2024-03-27 23:25:54] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 1047, Y= 24, Z= 686 | caused by Player | Char
[2024-03-27 23:26:18] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 1051, Y= 24, Z= 686 | caused by Player | Feathery
[2024-03-27 23:26:45] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 1053, Y= 24, Z= 682 | caused by Player | Feathery
[2024-03-27 23:26:51] [world] The Player <Char> has died with 892 level(s) at X= 1051, Y= 24, Z= 684 | caused by Player | Feathery
[2024-03-27 23:26:59] [world] The Player <Char> has died with 892 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | Heinrich_Himmler
[2024-03-27 23:27:35] [world] The Player <Char> has died with 892 level(s) at X= 1055, Y= 24, Z= 685 | caused by ENTITY_EXPLOSION | 
[2024-03-27 23:27:49] [world] The Player <Char> has died with 892 level(s) at X= 1052, Y= 24, Z= 686 | caused by ENTITY_EXPLOSION | 
[2024-03-27 23:28:12] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 1055, Y= 24, Z= 684 | caused by Player | Char
[2024-03-27 23:32:07] [world] The Player <NezukoChan> has died with 42 level(s) at X= 1050, Y= 24, Z= 687 | caused by Player | Char
[2024-03-27 23:32:25] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 1045, Y= 24, Z= 687 | caused by Player | Char
[2024-03-27 23:32:40] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 1056, Y= 24, Z= 690 | caused by Player | Char
[2024-03-27 23:32:40] [world] The Player <Char> has died with 892 level(s) at X= 1055, Y= 24, Z= 693 | caused by Player | GolemDaWanderer
[2024-03-27 23:32:49] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -575, Y= 69, Z= 320 | caused by Player | Char
[2024-03-27 23:33:05] [world] The Player <NezukoChan> has died with 42 level(s) at X= 1052, Y= 24, Z= 687 | caused by Player | Char
[2024-03-27 23:33:18] [world] The Player <NezukoChan> has died with 42 level(s) at X= 1055, Y= 25, Z= 694 | caused by Player | Char
[2024-03-27 23:33:59] [world] The Player <Feathery> has died with 614 level(s) at X= 1064, Y= 25, Z= 681 | caused by Player | GolemDaWanderer
[2024-03-27 23:34:00] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 1065, Y= 25, Z= 680 | caused by Player | Char
[2024-03-27 23:34:00] [world] The Player <Char> has died with 892 level(s) at X= 1062, Y= 25, Z= 686 | caused by Player | GolemDaWanderer
