[2024-03-28 01:00:54] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= -4, Y= 58, Z= -70 | caused by FALL | 
[2024-03-28 01:06:48] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= 3, Y= 58, Z= 32 | caused by ENTITY_ATTACK | 
[2024-03-28 01:59:42] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= -10, Y= 60, Z= -21 | caused by ENTITY_ATTACK | 
[2024-03-28 02:06:35] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= 100, Y= 21, Z= -5 | caused by FALL | 
[2024-03-28 02:10:15] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= 48, Y= 11, Z= 194 | caused by Player | Tester
[2024-03-28 02:15:38] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= 59, Y= -148, Z= 206 | caused by VOID | 
[2024-03-28 02:16:36] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= 46, Y= -95, Z= 136 | caused by VOID | 
[2024-03-28 02:18:38] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= -122, Y= -197, Z= 42 | caused by VOID | 
[2024-03-28 02:19:16] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= 44, Y= 3, Z= 141 | caused by FALL | 
[2024-03-28 02:23:26] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= 26, Y= 10, Z= 242 | caused by ENTITY_ATTACK | 
[2024-03-28 02:24:50] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= -25, Y= 58, Z= 8 | caused by FALL | 
[2024-03-28 02:33:02] [world_the_end] The Player <Tester> has died with 21863 level(s) at X= -94, Y= 4, Z= 199 | caused by ENTITY_ATTACK | 
[2024-03-28 02:44:26] [world_the_end] The Player <Tester> has died with 21863 level(s) at X= -87, Y= -166, Z= 217 | caused by VOID | 
[2024-03-28 02:53:50] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= -10, Y= -155, Z= -56 | caused by VOID | 
