[2024-03-31 13:24:30] [world] The Player <BTC> has died with 18 level(s) at X= -3126, Y= 41, Z= 833 | caused by FIRE_TICK | 
[2024-03-31 13:25:04] [world] The Player <BTC> has died with 18 level(s) at X= -3130, Y= 41, Z= 831 | caused by Player | Char
[2024-03-31 14:49:45] [world_nether] The Player <GolemDaWanderer> has died with 76 level(s) at X= -1150, Y= 27, Z= 423 | caused by LAVA | 
[2024-03-31 16:24:38] [world] The Player <Tester> has died with 21863 level(s) at X= -624, Y= 69, Z= 254 | caused by VOID | 
[2024-03-31 16:48:20] [world] The Player <Tester> has died with 21863 level(s) at X= -551, Y= 3, Z= -86 | caused by Player | BTC
[2024-03-31 16:56:10] [world] The Player <Tester> has died with 21863 level(s) at X= -550, Y= 8, Z= -96 | caused by Player | BTC
[2024-03-31 16:57:04] [world] The Player <Tester> has died with 21863 level(s) at X= -550, Y= 8, Z= -96 | caused by Player | BTC
[2024-03-31 16:58:50] [world] The Player <BTC> has died with 19 level(s) at X= -550, Y= 8, Z= -100 | caused by Player | Tester
[2024-03-31 17:06:15] [world_nether] The Player <BTC> has died with 20 level(s) at X= -283, Y= 31, Z= -101 | caused by LAVA | 
[2024-03-31 17:22:35] [world] The Player <BTC> has died with 239 level(s) at X= -617, Y= 69, Z= 468 | caused by Player | Tester
[2024-03-31 17:48:17] [world] The Player <GolemDaWanderer> has died with 76 level(s) at X= -9973, Y= 13, Z= 3752 | caused by ENTITY_ATTACK | 
[2024-03-31 17:48:38] [world] The Player <GolemDaWanderer> has died with 76 level(s) at X= -9974, Y= 12, Z= 3754 | caused by ENTITY_ATTACK | 
[2024-03-31 17:49:14] [world] The Player <GolemDaWanderer> has died with 76 level(s) at X= -9973, Y= 13, Z= 3754 | caused by ENTITY_EXPLOSION | 
[2024-03-31 17:49:44] [world] The Player <GolemDaWanderer> has died with 76 level(s) at X= -9972, Y= 14, Z= 3753 | caused by ENTITY_ATTACK | 
[2024-03-31 17:50:06] [world] The Player <GolemDaWanderer> has died with 76 level(s) at X= -9975, Y= 11, Z= 3753 | caused by ENTITY_ATTACK | 
[2024-03-31 18:07:33] [world] The Player <Tester> has died with 22082 level(s) at X= -9580, Y= 65, Z= 3832 | caused by VOID | 
[2024-03-31 18:07:33] [world] The Player <GolemDaWanderer> has died with 76 level(s) at X= -9588, Y= 64, Z= 3845 | caused by VOID | 
[2024-03-31 19:26:38] [world] The Player <GolemDaWanderer> has died with 76 level(s) at X= -9254, Y= 70, Z= 3698 | caused by LAVA | 
[2024-03-31 21:43:05] [world_the_end] The Player <GolemDaWanderer> has died with 83 level(s) at X= -36, Y= 57, Z= -16 | caused by ENTITY_ATTACK | 
[2024-03-31 21:45:52] [world_the_end] The Player <GolemDaWanderer> has died with 83 level(s) at X= -3, Y= 60, Z= 12 | caused by ENTITY_ATTACK | 
[2024-03-31 21:57:55] [world_the_end] The Player <GolemDaWanderer> has died with 83 level(s) at X= -32, Y= 57, Z= -10 | caused by FALL | 
[2024-03-31 21:58:49] [world_the_end] The Player <GolemDaWanderer> has died with 83 level(s) at X= -45, Y= 58, Z= 18 | caused by FALL | 
