[2024-03-20 19:09:49] [world] The Player <Char> got kicked at X= -572, Y= 75, Z= 248 with the reason §cWrong password!
[2024-03-20 20:03:33] [world_the_end] The Player <theproman3387> got kicked at X= -57, Y= -190, Z= -30 with the reason Flying is not enabled on this server
[2024-03-20 21:07:17] [world] The Player <hexa> got kicked at X= -573, Y= 68, Z= 316 with the reason §4Swearing is not allowed on this server!
[2024-03-20 21:16:34] [world] The Player <A_Random_Person> got kicked at X= 1801, Y= 38, Z= 283 with the reason §cWrong password!
[2024-03-20 21:48:18] [world] The Player <NezukoChan> got kicked at X= 1914, Y= 65, Z= 263 with the reason §cWrong password!
[2024-03-20 21:48:39] [world] The Player <A_Random_Person> got kicked at X= -1297, Y= 11, Z= -102 with the reason §cWrong password!
[2024-03-20 21:51:35] [world] The Player <hexa> got kicked at X= -573, Y= 68, Z= 316 with the reason what kinda glitch is this
[2024-03-20 21:54:11] [world] The Player <astronomy> got kicked at X= 1804, Y= 38, Z= 289 with the reason §cWrong password!
[2024-03-20 21:58:52] [world] The Player <I_am_amazing> got kicked at X= -1272, Y= 12, Z= -370 with the reason You are banned from this server.
[2024-03-20 22:04:33] [world] The Player <idkwhattoputhere> got kicked at X= -590, Y= 68, Z= 261 with the reason §cWrong password!
[2024-03-20 22:06:26] [world] The Player <idkwhattoputhere> got kicked at X= -502, Y= 71, Z= 266 with the reason §cWrong password!
[2024-03-20 22:09:36] [world] The Player <NezukoChan> got kicked at X= -2543, Y= 65, Z= 562 with the reason §cWrong password!
[2024-03-20 22:32:15] [world] The Player <NezukoChan> got kicked at X= -2540, Y= 64, Z= 573 with the reason §cWrong password!
[2024-03-20 23:18:50] [world] The Player <NezukoChan> got kicked at X= -2554, Y= 64, Z= 565 with the reason §cWrong password!
[2024-03-20 23:18:56] [world] The Player <NezukoChan> got kicked at X= -2554, Y= 64, Z= 565 with the reason §cWrong password!
[2024-03-21 00:02:57] [world] The Player <NezukoChan> got kicked at X= -2562, Y= 65, Z= 566 with the reason §cWrong password!
[2024-03-21 00:27:29] [world] The Player <astronomy> got kicked at X= 1800, Y= 38, Z= 289 with the reason §4Swearing is not allowed on this server!
[2024-03-21 00:31:04] [world] The Player <NezukoChan> got kicked at X= 1785, Y= 15, Z= 264 with the reason §4Swearing is not allowed on this server!
[2024-03-21 00:31:11] [world] The Player <NezukoChan> got kicked at X= 1785, Y= 15, Z= 264 with the reason §cWrong password!
[2024-03-21 00:46:49] [world_nether] The Player <Rip_WillOfTheD> got kicked at X= -61, Y= 80, Z= 20 with the reason §cWrong password!
[2024-03-21 01:06:20] [world] The Player <NezukoChan> got kicked at X= -571, Y= 88, Z= 249 with the reason §cWrong password!
[2024-03-21 01:06:44] [world] The Player <NezukoChan> got kicked at X= -571, Y= 88, Z= 249 with the reason §cWrong password!
[2024-03-21 11:52:32] [world] The Player <dick_slap> got kicked at X= -885, Y= 68, Z= 823 with the reason §cWrong password!
[2024-03-21 11:53:30] [world] The Player <hexa> got kicked at X= -2067, Y= 63, Z= 409 with the reason §cWrong password!
[2024-03-21 11:54:09] [world] The Player <dick_slap> got kicked at X= -883, Y= 68, Z= 821 with the reason §cWrong password!
[2024-03-21 12:25:27] [world_the_end] The Player <hi_> got kicked at X= -6, Y= 59, Z= 14 with the reason §cWrong password!
[2024-03-21 12:35:13] [world] The Player <Dave_TheCoolGuy> got kicked at X= -682, Y= 62, Z= 312 with the reason server.plugins.anticheat.illegalitems()
[2024-03-21 12:38:14] [world] The Player <NezukoChan> got kicked at X= 1801, Y= 38, Z= 290 with the reason §cWrong password!
[2024-03-21 12:48:17] [world] The Player <ACE> got kicked at X= -774, Y= 62, Z= 255 with the reason You are banned from this server.
[2024-03-21 13:54:08] [world] The Player <NezukoChan> got kicked at X= -10155, Y= 63, Z= 4115 with the reason §cWrong password!
[2024-03-21 13:55:43] [world] The Player <astronomy> got kicked at X= 1802, Y= 38, Z= 289 with the reason §cWrong password!
[2024-03-21 13:55:53] [world_the_end] The Player <theproman3387> got kicked at X= -51, Y= 38, Z= -12 with the reason §cWrong password!
[2024-03-21 14:03:18] [world] The Player <hi_> got kicked at X= -1536, Y= 50, Z= -118 with the reason §cWrong password!
[2024-03-21 14:03:48] [world] The Player <NezukoChan> got kicked at X= -685, Y= 65, Z= 313 with the reason §cWrong password!
[2024-03-21 14:04:21] [world] The Player <NezukoChan> got kicked at X= -685, Y= 65, Z= 312 with the reason §cWrong password!
[2024-03-21 18:45:17] [world] The Player <NezukoChan> got kicked at X= -685, Y= 65, Z= 312 with the reason §cWrong password!
[2024-03-21 19:30:02] [world] The Player <Dave_TheCoolGuy> got kicked at X= -683, Y= 209, Z= 328 with the reason Flying is not enabled on this server
[2024-03-21 19:34:12] [world] The Player <Dave_TheCoolGuy> got kicked at X= -694, Y= 69, Z= 301 with the reason You are banned from this server.
[2024-03-21 19:36:55] [world] The Player <NezukoChan> got kicked at X= -898, Y= 70, Z= 272 with the reason §cWrong password!
[2024-03-21 19:37:16] [world] The Player <Dave_TheCoolGuy> got kicked at X= -688, Y= 75, Z= 304 with the reason tell sean to give me a dollar -Connor
[2024-03-21 19:37:31] [world] The Player <Dave_TheCoolGuy> got kicked at X= -688, Y= 75, Z= 304 with the reason tell sean to give me a dollar -Sean
[2024-03-21 19:37:42] [world] The Player <Dave_TheCoolGuy> got kicked at X= -688, Y= 75, Z= 304 with the reason You are banned from this server.
