[2024-03-20 20:11:47] [world] The Player <hexa> has placed a sign at X= -2529, Y= 65, Z= 581 with DEICATED TO CHAR, , , 
[2024-03-20 20:12:06] [world] The Player <hexa> has placed a sign at X= -2538, Y= 65, Z= 561 with HAYBALES , DE, , 
[2024-03-20 20:12:22] [world] The Player <hexa> has placed a sign at X= -2538, Y= 65, Z= 562 with BALES , cDFK L, , 
[2024-03-20 20:12:36] [world] The Player <hexa> has placed a sign at X= -2537, Y= 65, Z= 561 with deicated to char, , , 
[2024-03-20 20:12:51] [world] The Player <hexa> has placed a sign at X= -2538, Y= 65, Z= 562 with for god, , , 
[2024-03-20 20:16:40] [world] The Player <Char> has placed a sign at X= -544, Y= 68, Z= 253 with Char, 1, B 50: S 26, Diamond
[2024-03-20 20:23:18] [world] The Player <astronomy> has placed a sign at X= 1804, Y= 61, Z= 262 with Stop here to, prevent, suffocating, your horse.
[2024-03-20 21:06:52] [world] The Player <astronomy> has placed a sign at X= 1800, Y= 39, Z= 287 with Cyra -->, My horse, Please dont, ride. :)
[2024-03-20 21:17:18] [world] The Player <A_Random_Person> has placed a sign at X= 1801, Y= 38, Z= 287 with Super Cool, Horsey, , 
[2024-03-20 22:07:13] [world] The Player <hexa> has placed a sign at X= -2538, Y= 65, Z= 562 with god kill my horse, , , 
[2024-03-20 22:07:21] [world] The Player <hexa> has placed a sign at X= -2537, Y= 65, Z= 561 with not for god, sssss, , 
[2024-03-20 22:49:39] [world] The Player <astronomy> has placed a sign at X= 1802, Y= 39, Z= 287 with <--Rosie, My horse, Please do not, ride. :D
[2024-03-20 22:51:46] [world] The Player <hexa> has placed a sign at X= 999994, Y= 63, Z= 1000000 with Hexa's , , , 
[2024-03-20 22:51:56] [world] The Player <hexa> has placed a sign at X= 999994, Y= 63, Z= 1000000 with hexa's bunker, , , 
[2024-03-20 22:52:57] [world] The Player <hexa> has placed a sign at X= 999993, Y= 63, Z= 1000000 with hexa's bunker, , , 
[2024-03-20 22:53:51] [world] The Player <hexa> has placed a sign at X= 999993, Y= 63, Z= 1000000 with , hexa's , gggb b, 
[2024-03-20 22:54:05] [world] The Player <hexa> has placed a sign at X= 999993, Y= 63, Z= 1000000 with , , hexa's bunker, 
[2024-03-20 23:07:59] [world] The Player <astronomy> has placed a sign at X= 1800, Y= 39, Z= 286 with Horses:, Cyra, Rosie, Blaze
[2024-03-21 01:18:03] [world] The Player <astronomy> has placed a sign at X= 1800, Y= 39, Z= 286 with Horses:, Cyra, Ishu, Blaze
[2024-03-21 01:57:29] [world] The Player <astronomy> has placed a sign at X= 1800, Y= 38, Z= 286 with Cody, , , 
[2024-03-21 02:04:31] [world] The Player <astronomy> has placed a sign at X= 1802, Y= 40, Z= 291 with PLEASE, DO NOT, ROB, TYSM
[2024-03-21 02:29:49] [world] The Player <A_Random_Person> has placed a sign at X= -1534, Y= 60, Z= -117 with , , , 
[2024-03-21 02:30:13] [world] The Player <A_Random_Person> has placed a sign at X= -1534, Y= 61, Z= -117 with , , , 
[2024-03-21 02:30:31] [world] The Player <A_Random_Person> has placed a sign at X= -1534, Y= 60, Z= -117 with , , , 
[2024-03-21 02:54:19] [world] The Player <astronomy> has placed a sign at X= -1538, Y= 52, Z= -117 with A_Random_Person, Mob Farm, , 
[2024-03-21 03:07:19] [world] The Player <Heinrich_Himmler> has placed a sign at X= -685, Y= 71, Z= 315 with I speak for the , trees, and fo, some f***ing, 
[2024-03-21 03:07:37] [world] The Player <Heinrich_Himmler> has placed a sign at X= -685, Y= 71, Z= 315 with house of the, lorax helper, , 
[2024-03-21 03:08:04] [world] The Player <Heinrich_Himmler> has placed a sign at X= -685, Y= 72, Z= 316 with Hitler did, nothing wrong, , 
[2024-03-21 03:42:15] [world_the_end] The Player <Heinrich_Himmler> has placed a sign at X= -166, Y= 57, Z= 43 with also fixed, your enderpear, farm, 
[2024-03-21 03:45:59] [world_the_end] The Player <Heinrich_Himmler> has placed a sign at X= -167, Y= 98, Z= 44 with GOLUM WUZ HERE, and Himmler, DIGBICK TOO, 
[2024-03-21 12:29:41] [world] The Player <A_Random_Person> has placed a sign at X= -1536, Y= 50, Z= -118 with A_Random_Person, 1, B999999999999, Diamond
[2024-03-21 12:40:50] [world] The Player <A_Random_Person> has placed a sign at X= -1536, Y= 50, Z= -118 with A_Random_Person, 1, B1000, Diamond
