[2024-03-28 16:39:15] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 80, Y= 60, Z= -95
[2024-03-28 16:39:15] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 80, Y= 58, Z= -91
[2024-03-28 16:39:15] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 79, Y= 59, Z= -91
[2024-03-28 16:39:15] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 84, Y= 61, Z= -91
[2024-03-28 16:39:15] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 80, Y= 55, Z= -95
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 83, Y= 61, Z= -94
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 78, Y= 58, Z= -96
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 84, Y= 59, Z= -98
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 82, Y= 54, Z= -93
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 82, Y= 56, Z= -95
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 81, Y= 61, Z= -97
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 82, Y= 62, Z= -97
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 86, Y= 58, Z= -97
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 88, Y= 58, Z= -93
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 80, Y= 64, Z= -94
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 76, Y= 61, Z= -97
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 90, Y= 61, Z= -98
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 76, Y= 63, Z= -94
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 84, Y= 52, Z= -103
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 71, Y= 58, Z= -94
