[2024-03-22 02:21:53] [world_the_end] [%uuid%] The Player <Heinrich_Himmler> has changed a sign at X= -50, Y= 38, Z= -9 with learn to claim, territory bozo, , 
[2024-03-22 02:22:06] [world_the_end] [%uuid%] The Player <Tester> has changed a sign at X= -50, Y= 38, Z= -9 with ikr, , , 
[2024-03-22 02:33:44] [world_nether] [%uuid%] The Player <Tester> has changed a sign at X= 12563, Y= 128, Z= -32 with Hein is found., , , 
[2024-03-22 04:22:16] [world_the_end] [%uuid%] The Player <Heinrich_Himmler> has changed a sign at X= -174, Y= 101, Z= 36 with please remove, the bedrock, you built the, platform to high
[2024-03-22 11:18:09] [world] [%uuid%] The Player <Tester> has changed a sign at X= -1536, Y= 50, Z= -117 with I tried to expand , the platform, but instead broke, hopper -Tester
[2024-03-22 11:19:06] [world] [%uuid%] The Player <Tester> has changed a sign at X= -1537, Y= 50, Z= -117 with hopper is in, chest i dont hav, perms to place, it back.
[2024-03-22 13:33:56] [world] [%uuid%] The Player <hexa> has changed a sign at X= 500005, Y= 23, Z= 48392 with s, , , 
[2024-03-22 14:50:16] [world] [%uuid%] The Player <hexa> has changed a sign at X= 1000063, Y= 59, Z= 1000008 with     , , , 
[2024-03-22 14:50:19] [world] [%uuid%] The Player <hexa> has changed a sign at X= 1000062, Y= 59, Z= 1000008 with , , , 
[2024-03-22 14:50:26] [world] [%uuid%] The Player <hexa> has changed a sign at X= 1000062, Y= 60, Z= 1000008 with , , , 
[2024-03-22 15:33:48] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -120 with , , , 
[2024-03-22 15:33:51] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -120 with , , , 
[2024-03-22 15:33:58] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -120 with , , , 
[2024-03-22 15:34:10] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -120 with AAA, , , 
[2024-03-22 15:34:16] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -121 with , , , 
[2024-03-22 15:34:38] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -120 with , , , 
[2024-03-22 15:34:39] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -120 with , , , 
[2024-03-22 15:35:35] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 75, Z= -120 with , , , 
[2024-03-22 15:35:37] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -120 with , , , 
[2024-03-22 15:35:39] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -120 with , , , 
[2024-03-22 15:35:49] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1555, Y= 76, Z= -120 with , , , 
[2024-03-22 15:35:51] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1555, Y= 76, Z= -119 with , , , 
[2024-03-22 15:36:03] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -119 with , , , 
[2024-03-22 15:36:05] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -119 with , , , 
[2024-03-22 15:39:16] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -121 with , , , 
[2024-03-22 15:39:27] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 75, Z= -120 with , , , 
[2024-03-22 15:39:28] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 75, Z= -120 with , , , 
[2024-03-22 15:39:33] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 75, Z= -119 with s, , , 
[2024-03-22 15:39:34] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 75, Z= -119 with , , , 
[2024-03-22 15:39:46] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 75, Z= -119 with sssss, , , 
[2024-03-22 15:39:48] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 75, Z= -120 with , , , 
[2024-03-22 15:39:52] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 75, Z= -119 with , , , 
[2024-03-22 15:39:56] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 75, Z= -120 with , , , 
[2024-03-22 15:40:00] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -119 with , , , 
[2024-03-22 15:40:03] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -119 with , , , 
[2024-03-22 15:40:26] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -120 with , , , 
[2024-03-22 15:40:28] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -120 with , , , 
[2024-03-22 16:09:48] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 75, Z= -119 with , , , 
[2024-03-22 16:09:50] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 75, Z= -120 with , , , 
[2024-03-22 16:09:52] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 75, Z= -120 with , , , 
[2024-03-22 16:09:55] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 75, Z= -119 with , , , 
[2024-03-22 16:10:03] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -119 with CC, , , 
[2024-03-22 16:10:06] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -119 with , , , 
[2024-03-22 16:10:10] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -120 with , , , 
[2024-03-22 16:10:12] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 76, Z= -120 with , , , 
[2024-03-22 16:11:29] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1556, Y= 76, Z= -120 with , , , 
[2024-03-22 16:18:55] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 51, Z= -120 with THROW CHICKEN, EGGS HERE, , 
[2024-03-22 16:19:04] [world] [%uuid%] The Player <A_Random_Person> has changed a sign at X= -1557, Y= 51, Z= -119 with THROW CHICKEN, EGGS HERE, , 
[2024-03-22 16:22:11] [world] [%uuid%] The Player <astronomy> has changed a sign at X= 1800, Y= 38, Z= 286 with Glory, Thunder, Bolt, Spirit
[2024-03-22 16:22:39] [world] [%uuid%] The Player <astronomy> has changed a sign at X= 1800, Y= 40, Z= 286 with Horses:, Cyra, Ishu, Bella
[2024-03-22 16:23:30] [world] [%uuid%] The Player <astronomy> has changed a sign at X= 1800, Y= 40, Z= 286 with Horses:, Cody, , 
[2024-03-22 16:23:58] [world] [%uuid%] The Player <astronomy> has changed a sign at X= 1800, Y= 39, Z= 286 with Ishu, Cyra, Blaze, Cody
[2024-03-22 16:24:04] [world] [%uuid%] The Player <astronomy> has changed a sign at X= 1800, Y= 40, Z= 286 with , HORSES:, , 
