[2024-03-28 12:19:47] [world] [%uuid%] The Player <Tester> has changed a sign at X= -582, Y= 70, Z= 357 with , 5, B 0.2, grass_block
[2024-03-28 12:19:56] [world] [%uuid%] The Player <Tester> has changed a sign at X= -582, Y= 70, Z= 357 with Tester, 5, B 0.2, Grass
[2024-03-28 12:20:54] [world] [%uuid%] The Player <Tester> has changed a sign at X= -582, Y= 70, Z= 343 with Tester, 5, B 0.15, Raw Fish
[2024-03-28 12:21:14] [world] [%uuid%] The Player <Tester> has changed a sign at X= -582, Y= 69, Z= 343 with Tester, 5, B 0.23, Cooked Fish
[2024-03-28 12:22:04] [world] [%uuid%] The Player <Tester> has changed a sign at X= -580, Y= 70, Z= 342 with , 2, B 0.4, Pufferfish
[2024-03-28 12:23:31] [world] [%uuid%] The Player <Tester> has changed a sign at X= -580, Y= 70, Z= 342 with Tester, 2, B 0.4, Raw Fish
[2024-03-28 12:23:36] [world] [%uuid%] The Player <Tester> has changed a sign at X= -580, Y= 70, Z= 343 with pufferfish, , , 
[2024-03-28 12:24:43] [world] [%uuid%] The Player <Tester> has changed a sign at X= -580, Y= 69, Z= 342 with Tester, 5, B 0.2, Raw Fish
[2024-03-28 12:24:46] [world] [%uuid%] The Player <Tester> has changed a sign at X= -580, Y= 69, Z= 343 with clownfish, , , 
[2024-03-28 12:26:23] [world] [%uuid%] The Player <Tester> has changed a sign at X= -580, Y= 70, Z= 338 with Tester, 1, B 0.4, Fishing Rod
[2024-03-28 12:31:41] [world] [%uuid%] The Player <Tester> has changed a sign at X= -580, Y= 69, Z= 338 with Tester, 1, B 0.3, Water Bucket
[2024-03-28 12:41:09] [world] [%uuid%] The Player <Tester> has changed a sign at X= -581, Y= 71, Z= 354 with Building Blocks, quartz ore xp!, + much more, 
[2024-03-28 14:26:38] [world] [%uuid%] The Player <Milk_Frog> has changed a sign at X= -596, Y= 70, Z= 274 with The, , , 
[2024-03-28 14:27:06] [world] [%uuid%] The Player <Milk_Frog> has changed a sign at X= -597, Y= 70, Z= 274 with Bakery!, , , 
[2024-03-28 14:36:38] [world] [%uuid%] The Player <Tester> has changed a sign at X= -582, Y= 70, Z= 339 with Tester, 3, B 0.15, Potion
[2024-03-28 14:37:07] [world] [%uuid%] The Player <Tester> has changed a sign at X= -582, Y= 70, Z= 338 with water bottle, , , 
[2024-03-28 14:39:06] [world] [%uuid%] The Player <Tester> has changed a sign at X= -582, Y= 69, Z= 339 with Tester, 1, B 0.3, Potion:8237
[2024-03-28 14:39:17] [world] [%uuid%] The Player <Tester> has changed a sign at X= -582, Y= 69, Z= 338 with water breathing, 3 mintues, not splash, 
[2024-03-28 14:46:51] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -453, Y= 72, Z= 254 with ----------------------, Get out please, ----------------------, ----------------------
[2024-03-28 14:47:09] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -454, Y= 73, Z= 254 with ----------------------, Use unicodefont, if you can't read, 
[2024-03-28 14:54:06] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -453, Y= 72, Z= 254 with Home will be, abandoned, soon, 
[2024-03-28 15:29:15] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -454, Y= 72, Z= 254 with This was xcpc's, old home, Abandoned, 3/28/24
[2024-03-28 15:39:14] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -622, Y= 6, Z= 320 with xcpc found this, I didn't take nun, I suggest you, hide ur base
[2024-03-28 15:59:32] [world] [%uuid%] The Player <Tester> has changed a sign at X= -570, Y= 69, Z= 342 with Tester, 6, B 0.05, Arrow
[2024-03-28 16:01:11] [world] [%uuid%] The Player <Tester> has changed a sign at X= -567, Y= 70, Z= 340 with Tester, 1, B 1, Bow
[2024-03-28 16:03:28] [world] [%uuid%] The Player <Tester> has changed a sign at X= -569, Y= 71, Z= 345 with Weapons!, , , 
[2024-03-28 16:12:48] [world] [%uuid%] The Player <Tester> has changed a sign at X= -570, Y= 70, Z= 340 with Tester, 1, B 20, Iron Sword#8
[2024-03-28 16:13:04] [world] [%uuid%] The Player <Tester> has changed a sign at X= -570, Y= 70, Z= 340 with Tester, 1, B 20, Bow#8
[2024-03-28 16:52:35] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 277, Y= 20, Z= -159 with , , , 
[2024-03-28 16:52:37] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 278, Y= 20, Z= -160 with , , , 
[2024-03-28 16:52:40] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 276, Y= 20, Z= -160 with , , , 
[2024-03-28 16:52:43] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 283, Y= 22, Z= -159 with a, , , 
[2024-03-28 16:52:45] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 283, Y= 22, Z= -159 with , , , 
[2024-03-28 16:52:49] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 284, Y= 22, Z= -160 with , , , 
[2024-03-28 16:52:52] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 282, Y= 22, Z= -160 with , , , 
[2024-03-28 16:53:31] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 292, Y= 19, Z= -159 with , , , 
[2024-03-28 16:53:39] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 291, Y= 19, Z= -158 with , , , 
[2024-03-28 16:53:41] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 290, Y= 19, Z= -159 with , , , 
[2024-03-28 16:53:58] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 298, Y= 19, Z= -158 with , , , 
[2024-03-28 16:54:00] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 297, Y= 19, Z= -159 with , , , 
[2024-03-28 16:54:03] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 306, Y= 19, Z= -157 with , , , 
[2024-03-28 16:54:08] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 307, Y= 19, Z= -158 with , , , 
[2024-03-28 16:54:14] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 321, Y= 18, Z= -158 with , , , 
[2024-03-28 16:54:16] [world_the_end] [%uuid%] The Player <Feathery> has changed a sign at X= 320, Y= 18, Z= -159 with , , , 
[2024-03-28 17:21:23] [world] [%uuid%] The Player <Milk_Frog> has changed a sign at X= -598, Y= 68, Z= 294 with Heinrich_Himmlers, strip club, , 
[2024-03-28 17:21:46] [world] [%uuid%] The Player <Milk_Frog> has changed a sign at X= -602, Y= 68, Z= 288 with Heinrich_Himmlers, strip club, , 
[2024-03-28 18:15:48] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -310, Y= 71, Z= 280 with Home, Lava, , 
[2024-03-28 18:16:19] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -305, Y= 70, Z= 278 with xcpc's house, est. 3/28/24, uh.no.256 discord, 
[2024-03-28 18:16:45] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -313, Y= 71, Z= 273 with --------------, Attic ^, Basement v, ---------------
[2024-03-28 19:42:13] [world] [%uuid%] The Player <Tester> has changed a sign at X= -564, Y= 67, Z= 349 with , , , 
[2024-03-28 19:47:30] [world] [%uuid%] The Player <Tester> has changed a sign at X= -567, Y= 71, Z= 347 with Outside, Area, , 
[2024-03-28 19:47:37] [world] [%uuid%] The Player <Tester> has changed a sign at X= -567, Y= 71, Z= 356 with Outside, Area, , 
[2024-03-28 19:49:33] [world] [%uuid%] The Player <Tester> has changed a sign at X= -567, Y= 71, Z= 347 with Outside, Area, , 
[2024-03-28 19:49:42] [world] [%uuid%] The Player <Tester> has changed a sign at X= -567, Y= 71, Z= 356 with Outside, Area, , 
[2024-03-28 23:21:47] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -308, Y= 70, Z= 274 with Random stuff, , , 
[2024-03-28 23:21:52] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -310, Y= 70, Z= 274 with Wood and food, , , 
[2024-03-28 23:22:03] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -308, Y= 70, Z= 280 with Valuables, Iron, Gold, etc, , 
[2024-03-28 23:22:06] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -307, Y= 70, Z= 279 with , , , 
[2024-03-29 16:42:50] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -307, Y= 71, Z= 280 with Home, Lava, Clear, Mines
[2024-03-29 19:14:58] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10177, Y= 62, Z= 4118 with 19 string > 1e, 1e > 8 arrows, , 
[2024-03-29 19:15:18] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10179, Y= 62, Z= 4118 with 19 coal >1e, , , 
[2024-03-29 19:17:30] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10183, Y= 62, Z= 4118 with 38 flesh > 1e, 9 gold > 1e, , 
[2024-03-29 19:17:53] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10181, Y= 62, Z= 4118 with 40 flesh > 1e, 8 gold > 1e, , 
[2024-03-29 19:18:40] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10179, Y= 62, Z= 4118 with 19 coal > 1e, 5e >, Enchanted iron, shovel
[2024-03-29 19:18:56] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10177, Y= 62, Z= 4118 with 19 string > 1e, 1e > 8 arrows, , 
[2024-03-29 19:19:32] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10177, Y= 62, Z= 4120 with 36 paper > 1e, 1 book + 13e, Silk Touch, 
[2024-03-29 19:19:51] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10179, Y= 62, Z= 4120 with 17 coal > 1e, Iron axe?, , 
[2024-03-29 19:20:11] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10181, Y= 62, Z= 4120 with 21 coal > 1e, 8e > Iron Axe, , 
[2024-03-29 19:20:24] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10183, Y= 62, Z= 4120 with Sell pork, and chicken, for emeralds, 
[2024-03-29 19:20:52] [world] [%uuid%] The Player <xcpc> has changed a sign at X= -10185, Y= 62, Z= 4120 with Sharp III seller, 36 paper > 1e, 1 book and 32e, for sharp III
[2024-03-29 22:43:12] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -581, Y= 78, Z= 248 with Marshtomp17, 1, B 10: S 1, Potion
[2024-03-29 22:44:26] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -581, Y= 78, Z= 246 with Marshtomp17, 1, B 4: S 0.4, Potion
[2024-03-29 22:45:23] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -581, Y= 78, Z= 245 with Marshtomp17, 1, B 6: S 0.6, Splash Potions
[2024-03-29 22:46:08] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -580, Y= 78, Z= 245 with Marshtomp17, 1, B 6: S 0.6, Potion
[2024-03-29 23:40:28] [world] [%uuid%] The Player <Tester> has changed a sign at X= -625, Y= 68, Z= 253 with Tester's Train, Track, , 
